"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0007423","sensory organ development","543","3","21.429","5.5122","2.463","0.0154384394912669","1.81139660002246","1","0.0632976019141945","0.438697695286458","sano,pk,fred","FBgn0034408,FBgn0003090,FBgn0051774"
"","GO Biological Processes","GO:0090130","tissue migration","194","2","14.286","10.2857","3.363","0.0156485110235725","1.80552697984342","1","0.0637038675711392","0.44151340712997","baz,Sdc","FBgn0000163,FBgn0010415"
"","GO Cellular Component","GO:0005938","cell cortex","198","2","14.286","10.0779","3.333","0.016264992529376","1.78874613185655","1","0.0651532978485011","0.451558996582459","baz,sano","FBgn0000163,FBgn0034408"
"","GO Biological Processes","GO:0007389","pattern specification process","559","3","21.429","5.3545","2.421","0.0166866140648214","1.77763177848824","1","0.0651532978485011","0.451558996582459","baz,pk,fred","FBgn0000163,FBgn0003090,FBgn0051774"
"","GO Biological Processes","GO:0001667","ameboidal-type cell migration","201","2","14.286","9.9275","3.311","0.0167341984627894","1.77639508471189","1","0.0651532978485011","0.451558996582459","baz,Sdc","FBgn0000163,FBgn0010415"
"","GO Cellular Component","GO:0045177","apical part of cell","202","2","14.286","9.8784","3.304","0.0168918974781003","1.77232156310022","1","0.0651532978485011","0.451558996582459","baz,sano","FBgn0000163,FBgn0034408"
"","GO Cellular Component","GO:0005886","plasma membrane","1645","5","35.714","3.0326","1.601","0.018075864628622","1.74290091978953","1","0.0673736772521366","0.466947815393586","baz,path,fred,pk,Fas3","FBgn0000163,FBgn0036007,FBgn0051774,FBgn0003090,FBgn0000636"
"","GO Biological Processes","GO:0051240","positive regulation of multicellular organismal process","213","2","14.286","9.3682","3.228","0.0186689746214557","1.72887953467399","1","0.0691354285981649","0.479158013438974","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0051960","regulation of nervous system development","215","2","14.286","9.2811","3.214","0.0190003529465477","1.72123833160957","1","0.0694662585434293","0.481450901796987","Sdc,pk","FBgn0010415,FBgn0003090"
"","GO Biological Processes","GO:0009952","anterior/posterior pattern specification","219","2","14.286","9.1115","3.188","0.019670662131679","1.7061810211028","1","0.0712817565972617","0.494033603004104","pk,baz","FBgn0003090,FBgn0000163"
